line_id,branch_line_id,sort_no,station_id,length,length_between
1002,,1,10020001,0.0,0.0
1002,,2,10020002,6.8,0.0
1002,,3,10020003,25.5,0.0
1002,,4,10020004,76.7,0.0
1002,,5,10020005,95.4,0.0
1002,,6,10020006,111.3,0.0
1002,,7,10020007,135.0,0.0
1002,,8,10020008,167.4,0.0
1002,,9,10020009,211.3,0.0
1002,,10,10020010,238.9,0.0
1002,,11,10020011,274.2,0.0
1002,,12,10020012,312.8,0.0
1002,,13,10020013,342.0,0.0
1002,,14,10020014,367.1,0.0
1002,,15,10020015,408.2,0.0
1002,,16,10020016,476.3,0.0
1002,,17,10020017,515.4,0.0
11101,,1,1000001,0.0,0.0
11101,,2,1000002,3.4,3.4
11101,,3,1000003,8.3,4.9
11101,,4,1000004,10.4,2.1
11101,,5,1000005,13.8,3.4
11101,,6,1000006,17.9,4.1
11101,,7,1000007,21.2,3.3
11101,,8,1000008,27.0,5.8
11101,1110101,9,1000008,0.0,0.0
11101,1110101,10,1000014,3.4,3.4
11101,1110101,11,1000015,5.6,2.2
11101,1110101,12,1000016,6.8,1.2
11101,1110101,13,1000017,14.6,7.8
11101,1110101,14,1000018,20.0,5.4
11101,1110101,15,1000019,25.3,5.3
11101,1110101,16,1000020,29.0,3.7
11101,1110101,17,1000021,31.9,2.9
11101,1110101,18,1000022,33.5,1.6
11101,1110101,19,1000023,35.3,1.8
11101,,21,1000009,28.0,1.0
11101,,22,1000010,31.7,3.7
11101,,23,1000011,36.5,4.8
11101,,24,1000012,,
11101,,25,1000013,,
11101,,26,1000024,,
11101,,27,1000023,49.5,13.0
11101,,37,1000025,56.1,6.6
11101,,38,1000026,60.0,3.9
11101,,39,1000027,62.1,2.1
11101,,40,1000028,66.1,4.0
11101,,41,1000029,71.4,5.3
11101,,42,1000030,76.0,4.6
11101,,43,1000031,81.1,5.1
11101,,44,1000032,,
11101,,45,1000033,88.3,7.2
11101,,46,1000034,94.4,6.1
11101,,47,1000035,,
11101,,48,1000036,102.8,8.4
11101,,49,1000037,107.7,4.9
11101,,50,1000038,112.3,4.6
11101,,51,1000040,120.9,8.6
11101,,52,1000041,,
11101,,53,1000042,132.3,11.4
11101,,54,1000043,140.4,8.1
11101,,55,1000044,155.8,15.4
11101,,56,1000045,163.4,7.6
11101,,57,1000046,170.3,6.9
11101,,58,1000047,179.6,9.3
11101,,59,1000048,186.6,7.0
11101,,60,1000049,193.3,6.7
11101,,61,1000050,203.6,10.3
11101,,62,1000051,213.4,9.8
11101,,63,1000052,224.1,10.7
11101,,64,1000053,228.2,4.1
11101,,65,1000054,232.6,4.4
11101,,66,1000055,237.9,5.3
11101,,67,1000056,244.8,6.9
11101,,68,1000057,252.5,7.7
11101,,69,1000059,254.1,1.6
11101,,70,1000060,256.2,2.1
11101,,71,1000061,259.3,3.1
11101,,72,1000062,268.1,8.8
11101,,73,1000063,271.0,2.9
11101,,74,1000064,272.6,1.6
11101,,75,1000065,273.7,1.1
11101,,76,1000066,275.7,2.0
11101,,77,1000067,277.0,1.3
11101,,78,1000068,279.2,2.2
11101,,79,1000069,281.0,1.8
11101,,80,1000070,282.5,1.5
11101,,81,1000071,284.7,2.2
11101,,82,1000072,286.3,1.6
11101,,83,1000073,288.2,1.9
11101,,84,1000074,292.1,3.9
11101,,85,1000075,296.5,1.4
11101,,86,1000076,298.5,2.0
11101,,87,1000077,300.8,2.3
11101,,88,1000078,304.2,3.4
11101,,89,1000079,305.5,1.3
11101,,90,1000080,307.3,1.8
11101,,91,1000081,313.5,6.2
11101,,92,1000082,316.7,3.2
11101,,93,1000083,322.6,5.9
11101,,94,1000084,326.9,4.3
11101,,95,1000085,335.3,8.4
11101,,96,1000086,339.8,4.5
11101,,97,1000087,343.7,3.9
11101,,98,1000088,348.1,4.4
11101,,99,1000089,354.3,6.2
11101,,100,1000090,359.0,4.7
11101,,101,1000091,362.2,3.2
11101,,102,1000092,369.8,7.6
11101,,103,1000093,378.2,8.4
11101,,104,1000094,385.7,7.5
11101,,105,1000095,392.9,7.2
11101,,106,1000096,400.3,7.4
11101,,107,1000097,413.0,12.7
11101,,108,1000098,419.1,6.1
11101,,109,1000099,423.1,4.0
11104,,1,1000038,0.0,0.0
11104,,2,1000101,10.6,10.6
11104,,3,1000102,17.5,6.9
11104,,4,1000103,23.6,6.1
11104,,5,1000104,27.7,4.1
11104,,6,1000105,36.1,8.4
11104,,7,1000106,41.5,5.4
11104,,8,1000107,46.6,5.1
11104,,9,1000108,51.5,4.9
11104,,10,1000109,54.5,3.0
11104,,11,1000110,57.4,2.9
11104,,12,1000111,60.6,3.2
11104,,13,1000112,65.1,4.5
11104,,14,1000113,67.3,2.2
11104,,15,1000114,72.7,3.0
11104,,16,1000115,,
11104,,17,1000116,,
11104,,18,1000117,,
11104,,19,1000118,,
11104,,20,1000119,77.2,4.5
11104,,21,1000120,79.1,0.9
11104,,22,1000121,86.8,7.7
11104,,23,1000122,92.3,5.5
11104,,24,1000123,94.7,2.4
11104,,25,1000124,98.1,3.4
11104,,26,1000125,102.9,4.8
11104,,27,1000126,105.7,2.8
11104,,28,1000127,107.8,2.1
11104,,29,1000128,113.6,5.8
11104,,30,1000129,119.1,5.5
11104,,31,1000130,125.4,6.3
11104,,32,1000131,130.6,5.2
11104,,33,1000132,132.8,2.2
11104,,34,1000133,135.2,2.4
11104,,35,1000135,144.0,5.4
11104,,36,1000136,152.9,8.9
11104,,37,1000137,158.3,5.4
11104,,38,1000138,164.0,5.7
11104,,39,1000139,170.8,6.8
11104,,40,1000140,178.8,8.0
11104,,41,1000141,182.2,3.4
11104,,42,1000142,186.4,4.2
11104,,43,1000143,191.5,5.1
11104,,44,1000144,195.7,4.2
11104,,45,1000145,199.6,3.9
11104,,46,1000146,203.9,4.3
11104,,47,1000084,211.0,7.1
11106,,1,1000092,0.0,0.0
11106,,2,1000149,7.2,7.2
11106,,3,1000150,13.7,6.5
11106,,4,1000151,17.2,3.5
11106,,5,1000152,20.7,3.5
11106,,6,1000153,26.6,5.9
11106,,7,1000154,30.5,3.9
11106,,8,1000155,35.2,4.7
11106,,9,1000156,,
11106,,10,1000157,54.6,19.4
11106,,11,1000158,60.9,6.3
11106,,12,1000159,66.7,5.8
11106,,13,1000160,74.7,8.0
11106,,14,1000161,81.6,6.9
11106,,15,1000162,94.8,13.2
11106,,16,1000163,98.8,4.0
11106,,17,1000164,108.2,9.4
11106,,18,1000165,136.3,28.1
11106,,19,1000167,145.4,9.1
11106,,20,1000168,,
11106,,21,1000169,155.9,10.5
11106,,22,1000170,166.5,10.6
11106,,23,1000171,168.6,2.1
11106,,24,1000172,173.4,4.8
11106,,25,1000173,176.6,0.6
11106,,26,1000174,180.1,3.5
11106,,27,1000175,184.9,4.8
11106,,28,1000176,,
11106,,29,1000177,194.3,9.4
11106,,30,1000178,200.8,6.5
11106,,31,1000179,204.3,3.5
11106,,32,1000180,212.8,8.5
11106,,33,1000181,218.2,5.4
11106,,34,1000182,225.3,7.1
11106,,35,1000183,231.7,6.4
11106,,36,1000184,,
11106,,37,1000185,250.1,18.4
11106,,38,1000186,,
11106,,39,1000187,,
11106,,40,1000188,265.1,15.0
11106,,41,1000189,,
11106,,42,1000190,281.1,16.0
11106,,43,1000191,286.5,5.4
11106,,44,1000192,288.6,2.1
11106,,45,1000193,299.0,10.4
11106,,46,1000194,300.8,1.8
11106,,47,1000195,305.7,4.9
11106,,48,1000196,308.4,2.7
11106,,49,1000198,311.3,2.9
11106,,50,1000199,312.5,1.2
11106,,51,1000200,317.0,4.5
11106,,52,1000201,331.7,14.7
11106,,53,1000202,340.9,9.2
11106,,54,1000203,350.1,9.2
11106,,55,1000204,355.0,4.9
11106,,56,1000205,365.6,10.6
