station_id,company_id,station_name,station_name_kana,station_name_wiki,prefecture_id,address,status,open_date,close_date
1000001,1,函館,はこだてえきまえ,,1,北海道函館市若松町１２-１３,0,,
1000002,1,五稜郭,ごりょうかく,,1,函館市亀田本町,0,,
1000003,1,桔梗,ききょう,桔梗駅,1,北海道函館市桔梗３丁目４１-３６,0,,
1000004,1,大中山,おおなかやま,大中山駅,1,亀田郡七飯町大字大中山,0,,
1000005,1,七飯,ななえ,七飯駅,1,亀田郡七飯町字本町,0,,
1000006,1,新函館北斗,しんはこだてほくと,新函館北斗駅,1,北海道北斗市市渡,0,,
1000007,1,仁山,にやま,仁山駅,1,亀田郡七飯町字仁山,0,,
1000008,1,大沼,おおぬま,大沼駅,1,北海道亀田郡七飯町字大沼町４,0,,
1000009,1,大沼公園,おおぬまこうえん,大沼公園駅,1,北海道亀田郡七飯町字大沼町８５,0,,
1000010,1,赤井川,あかいがわ,赤井川駅,1,茅部郡森町字赤井川,0,,
1000011,1,駒ケ岳,,,1,北海道茅部郡森町字駒ヶ岳,0,,
1000012,1,東山,ひがしやま,,1,茅部郡森町字駒ケ岳,2,,
1000013,1,姫川,ひめかわ,,1,茅部郡森町字姫川,2,,
1000014,1,池田園,いけだえん,池田園駅,1,亀田郡七飯町字軍川,0,,
1000015,1,流山温泉,ながれやまおんせん,流山温泉駅,1,亀田郡七飯町字東大沼２３６,0,,
1000016,1,銚子口,ちょうしぐち,銚子口駅,1,亀田郡七飯町字東大沼,0,,
1000017,1,鹿部,しかべ,鹿部駅,1,茅部郡鹿部町字本別,0,,
1000018,1,渡島沼尻,おしまぬまじり,渡島沼尻駅,1,茅部郡森町砂原東４丁目,0,,
1000019,1,渡島砂原,おしまさわら,渡島砂原駅,1,茅部郡森町砂原４丁目,0,,
1000020,1,掛澗,かかりま,掛澗駅,1,茅部郡森町砂原西３丁目,0,,
1000021,1,尾白内,おしろない,尾白内駅,1,茅部郡森町字尾白内町,0,,
1000022,1,東森,ひがしもり,東森駅,1,茅部郡森町字港町,0,,
1000023,1,森,もり,,1,茅部郡森町字本町,0,,
1000024,1,桂川,けいせん,,1,茅部郡森町字鷲ノ木町,2,,
1000025,1,石谷,いしや,石谷駅,1,茅部郡森町字本茅部町,0,,
1000026,1,本石倉,ほんいしくら,本石倉駅,1,茅部郡森町字石倉町,0,,
1000027,1,石倉,いしくら,石倉駅,1,茅部郡森町字石倉町,0,,
1000028,1,落部,おとしべ,落部駅,1,二海郡八雲町落部,0,,
1000029,1,野田生,のだおい,野田生駅,1,二海郡八雲町野田生,0,,
1000030,1,山越,やまこし,山越駅,1,二海郡八雲町山越,0,,
1000031,1,八雲,やくも,八雲駅,1,二海郡八雲町本町,0,,
1000032,1,鷲ノ巣,,,1,二海郡八雲町花浦,2,,
1000033,1,山崎,やまざき,,1,二海郡八雲町山崎,0,,
1000034,1,黒岩,くろいわ,黒岩駅,1,二海郡八雲町黒岩,0,,
1000035,1,北豊津,,,1,山越郡長万部町字豊津,2,,
1000036,1,国縫,くんぬい,国縫駅,1,山越郡長万部町字国縫,0,,
1000037,1,中ノ沢,なかのさわ,中ノ沢駅,1,山越郡長万部町字中の沢,0,,
1000038,1,長万部,おしゃまんべ,長万部駅,1,山越郡長万部町字長万部,0,,
1000040,1,二股,ふたまた,二股駅,1,山越郡長万部町字双葉,0,,
1000041,1,蕨岱,,,1,山越郡長万部町字蕨岱,2,,
1000042,1,黒松内,くろまつない,黒松内駅,1,寿都郡黒松内町字黒松内,0,,
1000043,1,熱郛,ねっぷ,熱郛駅,1,寿都郡黒松内町字白井川,0,,
1000044,1,目名,めな,目名駅,1,磯谷郡蘭越町目名町,0,,
1000045,1,蘭越,らんこし,蘭越駅,1,磯谷郡蘭越町蘭越町,0,,
1000046,1,昆布,こんぶ,昆布駅,1,磯谷郡蘭越町昆布町,0,,
1000047,1,ニセコ,,ニセコ駅,1,虻田郡ニセコ町字中央通,0,,
1000048,1,比羅夫,ひらふ,比羅夫駅,1,虻田郡倶知安町比羅夫,0,,
1000049,1,倶知安,くっちゃん,倶知安駅,1,虻田郡倶知安町北三条西４丁目,0,,
1000050,1,小沢,こざわ,小沢駅,1,岩内郡共和町小沢,0,,
1000051,1,銀山,ぎんざん,銀山駅,1,余市郡仁木町銀山２丁目,0,,
1000052,1,然別,しかりべつ,然別駅,1,余市郡仁木町然別,0,,
1000053,1,仁木,にき,仁木駅,1,余市郡仁木町字北町１丁目,0,,
1000054,1,余市,よいち,余市駅,1,余市郡余市町黒川町５丁目,0,,
1000055,1,蘭島,らんしま,蘭島駅,1,小樽市蘭島１丁目,0,,
