company_name,transport_passengers_teiki_tsukin,transport_passengers_teiki_tsugaku,transport_passengers_teiki_total,transport_passengers_teiki_percent,transport_passengers_teikigai,transport_passengers_teikigai_percent
太平洋石炭販売輸送,0,0,0,,0,
中小計,155,297,452,66,231,34
公営計,67474,37987,105461,36,187204,64
北海道運輸局計,67629,38284,105913,36,187435,64
八戸臨海鉄道,0,0,0,,0,
岩手開発鉄道,0,0,0,,0,
仙台臨海鉄道,0,0,0,,0,
福島臨海鉄道,0,0,0,,0,
秋田臨海鉄道,198,971,1169,66,599,34
青函トンネル記念館,0,0,0,0,43,100
中小計,5692,8839,14531,59,10180,41
公営計,32716,11586,44302,50,44056,50
東北運輸局計,38408,20425,58833,52,54236,48
関西電力,0,0,0,0,937,100
立山黒部貫光,0,0,0,0,2198,100
中小計,20934,28316,49250,62,29595,38
北陸信越運輸局計,20934,28316,49250,62,29595,38
大手計,3797716,922486,4720202,60,3167747,40
筑波観光鉄道,12,0,12,3,405,97
高尾登山電鉄,26,0,26,2,1340,98
御岳登山鉄道,1,5,6,1,483,99
大山観光電鉄,0,0,0,0,453,100
京葉臨海鉄道,0,0,0,,0,
神奈川臨海鉄道,0,0,0,,0,
舞浜リゾートライン,78,0,78,0,21481,100
中小計,388377,82369,470743,55,382259,45
公営計,677905,101571,779476,60,514097,40
関東運輸局計,4863999,1106425,5970421,59,4064102,41
大手計,160274,100811,261085,67,125789,33
西濃鉄道,0,0,0,,0,
名古屋臨海鉄道,0,0,0,,0,
衣浦臨海鉄道,0,0,0,,0,
養老線管理機構,0,0,0,,0,
中小計,33014,29904,62921,51,60939,49
四日市市,0,0,0,,0,
公営計,165388,88873,254261,53,225106,47
中部運輸局計,358676,219588,578267,58,411834,42
大手計,752976,328927,1081903,54,925949,46
比叡山鉄道,14,0,14,5,248,95
鞍馬寺,0,0,0,0,286,100
丹後海陸交通,1,0,1,0,540,100
六甲山観光,21,37,58,11,462,89
神戸すまいまちづくり公社,0,0,0,0,162,100
中小計,151909,56914,208824,55,173417,45
公営計,347440,80073,427513,36,763131,64
近畿運輸局計,1252325,465914,1718240,48,1862497,52
中小計,22095,10163,32258,36,58604,64
中国運輸局計,22095,10163,32258,36,58604,64
四国ケーブル,7,0,7,4,167,96
中小計,14283,5863,20146,48,21677,52
四国運輸局計,14283,5863,20146,48,21677,52
大手計,36625,20042,56667,55,46759,45
皿倉登山鉄道,0,0,0,0,212,100
岡本製作所,0,0,0,0,204,100
中小計,9018,8378,17396,38,28190,62
公営計,63213,23292,86505,46,101224,54
九州運輸局計,108856,51712,160568,48,176173,52
中小計,2285,848,3133,17,15013,83
沖縄総合事務局計,2285,848,3133,17,15013,83
大手合計,4747591,1372266,6119857,59,4266244,41
中小合計,647763,231891,879654,53,780105,47
公営合計,1354136,343382,1697518,48,1834818,52
総合計（民鉄）,6749490,1947538,8697030,56,6881166,44
前年度実績（民鉄）,6433150,1922201,8355353,55,6703966,45
日本貨物鉄道,0,0,0,,0,
総合計（ＪＲ）,4470648,1303176,5773824,61,3714276,39
