company_name,transport_passengers_teiki_tsukin,transport_passengers_teiki_tsugaku,transport_passengers_teiki_total,transport_passengers_teiki_percent,transport_passengers_teikigai,transport_passengers_teikigai_percent,transport_passengers_sum
太平洋石炭販売輸送,0,0,0,,0,,0
道南いさりび鉄道,163,315,478,66,248,34,726
中小計,163,315,478,66,248,34,726
札幌市,56981,44523,101504,36,182285,65,283789
函館市,319,113,432,7,5375,93,5808
公営計,57300,44636,101936,35,187660,65,289597
北海道運輸局計,57463,44951,102414,35,187908,65,290323
弘南鉄道,187,977,1164,66,608,34,1772
津軽鉄道,5,120,125,48,138,52,263
三陸鉄道,18,232,250,49,263,51,513
福島交通,688,298,986,41,1425,59,2411
阿武隈急行,669,841,1510,60,1008,40,2518
会津鉄道,35,195,230,44,292,56,522
秋田内陸縦貫鉄道,17,133,150,53,134,47,284
由利高原鉄道,20,135,155,70,68,30,223
山形鉄道,25,425,450,77,136,23,586
ＩＧＲいわて銀河鉄道,1530,2277,3807,74,1365,26,5172
青い森鉄道,805,1969,2774,63,1620,37,4394
八戸臨海鉄道,0,0,0,,0,,0
岩手開発鉄道,0,0,0,,0,,0
仙台臨海鉄道,0,0,0,,0,,0
福島臨海鉄道,0,0,0,,0,,0
秋田臨海鉄道,0,0,0,,0,,0
青函トンネル記念館,0,0,0,0,44,100,44
仙台空港鉄道,1344,142,1486,38,2384,62,3870
中小計,5343,7744,13087,58,9485,42,22572
仙台市,30257,10435,40692,49,43011,51,83703
公営計,30257,10435,40692,49,43011,51,83703
東北運輸局計,35600,18179,53779,51,52496,49,106275
長野電鉄,2430,2567,4997,62,3089,38,8086
しなの鉄道,4343,5864,10207,71,4218,29,14425
上田電鉄,250,377,627,48,686,52,1313
アルピコ交通,233,874,1107,66,581,34,1688
北越急行,127,535,662,55,545,45,1207
富山地方鉄道,3042,3513,6554,60,4348,40,10903
黒部峡谷鉄道,3,0,3,0,1018,100,1021
北陸鉄道,588,1013,1601,55,1314,45,2915
のと鉄道,62,359,421,64,236,36,657
万葉線,153,292,445,39,710,61,1155
関西電力,0,0,0,0,931,100,931
立山黒部貫光,0,0,0,0,2161,100,2161
富山ライトレール,569,409,978,49,1020,51,1998
えちごトキめき鉄道株式会社,395,2121,2516,61,1592,39,4108
あいの風とやま鉄道,5161,5626,10788,73,3935,27,14723
ＩＲいしかわ鉄道,2764,3773,6537,70,2824,30,9361
中小計,20120,27323,47443,62,29208,38,76652
北陸信越運輸局計,20120,27323,47443,62,29208,38,76652
東武鉄道,436448,156045,592493,65,316388,35,908881
西武鉄道,314125,91402,405527,63,242893,37,648420
京成電鉄,127194,37056,164250,59,116034,41,280284
京王電鉄,296359,94144,390503,59,269824,41,660327
小田急電鉄,330434,131172,461606,62,287815,38,749421
東京急行電鉄,555458,143306,698764,60,464259,40,1163023
京浜急行電鉄,212224,46294,258518,55,209331,45,467849
相模鉄道,119220,30750,149970,65,80107,35,230077
東京地下鉄,1321744,189336,1511080,57,1131036,43,2642116
大手計,3713206,919505,4632711,60,3117687,40,7750398
埼玉新都市交通,8124,2861,10985,61,6973,39,17958
埼玉高速鉄道,24523,2671,27194,71,11143,29,38337
新京成電鉄,52378,13562,65940,64,37367,36,103307
北総鉄道,20951,4865,25817,69,11597,31,37414
千葉都市モノレール,7773,1654,9427,52,8609,48,18036
東京モノレール,17755,117,17872,40,27273,60,45145
横浜シーサイドライン,9789,495,10284,55,8396,45,18680
ゆりかもめ,14727,634,15360,35,28710,65,44071
東京臨海高速鉄道,44706,3540,48246,53,42462,47,90707
東葉高速鉄道,29370,8237,37607,70,16337,30,53944
多摩都市モノレール,15074,14394,29468,57,22080,43,51548
横浜高速鉄道,31625,1951,33576,46,40124,54,73699
ひたちなか海浜鉄道,182,384,566,59,394,41,960
鹿島臨海鉄道,267,1054,1321,60,864,40,2185
関東鉄道,4462,2190,6652,62,4117,38,10769
野岩鉄道,7,4,11,3,362,97,373
上信電鉄,402,1159,1561,70,657,30,2218
上毛電気鉄道,276,798,1074,69,474,31,1548
秩父鉄道,2332,2874,5206,65,2830,35,8036
流鉄,1098,300,1398,49,1437,51,2835
