company_name,transport_revenue_passenger_teiki_tsukin,transport_revenue_passenger_teiki_tsugaku,transport_revenue_passenger_teiki_total,transport_revenue_passenger_teiki_percent,transport_revenue_passenger_teikigai,transport_revenue_passenger_teikigai_percent,transport_revenue_passenger_total,transport_revenue_passenger_baggage,transport_revenue_passenger_total2
太平洋石炭販売輸送,0,0,0,0,0,0,0,0,0
中小計,0,0,0,0,0,0,0,0,0
札幌市,5642343,2217547,7859890,21,29142963,79,37002853,0,37002853
函館市,43906,13236,57142,6,840928,94,898070,0,898070
公営計,5686249,2230783,7917032,21,29983891,79,37900923,0,37900923
北海道運輸局計,5686249,2230783,7917032,21,29983891,79,37900923,0,37900923
弘南鉄道,32516,145856,178372,47,199708,53,378080,20,378100
津軽鉄道,1317,29288,30605,29,75810,71,106415,8,106423
三陸鉄道,1946,45459,47405,21,179165,79,226570,0,226570
福島交通,139796,47678,187474,40,285348,60,472822,0,472822
阿武隈急行,140085,169403,309488,44,389483,56,698971,0,698971
会津鉄道,17928,57014,74942,23,247515,77,322457,0,322457
秋田内陸縦貫鉄道,4715,33390,38105,26,107791,74,145896,0,145896
由利高原鉄道,3935,29959,33894,51,32000,49,65894,0,65894
山形鉄道,5718,83132,88850,58,64751,42,153601,0,153601
ＩＧＲいわて銀河鉄道,301330,283438,584767,37,985968,63,1570736,0,1570736
青い森鉄道,183446,174547,357993,20,1406552,80,1764545,0,1764545
八戸臨海鉄道,0,0,0,0,0,0,0,0,0
岩手開発鉄道,0,0,0,0,0,0,0,0,0
仙台臨海鉄道,0,0,0,0,0,0,0,0,0
福島臨海鉄道,0,0,0,0,0,0,0,0,0
秋田臨海鉄道,0,0,0,0,0,0,0,0,0
青函トンネル記念館,0,0,0,0,30376,100,30376,0,30376
仙台空港鉄道,130059,5644,135703,16,721002,84,856705,0,856705
中小計,962791,1104808,2067598,30,4725469,70,6793068,28,6793096
仙台市,3018701,600874,3619575,35,6712441,65,10332016,0,10332016
青森県,0,0,0,0,0,0,0,0,0
公営計,3018701,600874,3619575,35,6712441,65,10332016,0,10332016
東北運輸局計,3981492,1705682,5687173,33,11437910,67,17125084,28,17125112
長野電鉄,460426,301033,761458,42,1059565,58,1821023,0,1821023
しなの鉄道,612733,523674,1136407,50,1149874,50,2286282,0,2286282
上田電鉄,29846,51399,81245,31,181514,69,262759,0,262759
アルピコ交通,53113,105343,158456,43,214239,57,372695,0,372695
北越急行,32078,51796,83874,2,3870995,98,3954869,0,3954869
富山地方鉄道,382173,414094,796266,43,1062044,57,1858310,101,1858411
黒部峡谷鉄道,6942,0,6942,0,1549166,100,1556108,23392,1579500
北陸鉄道,80348,132627,212975,43,277820,57,490795,0,490795
のと鉄道,13034,57849,70883,46,81955,54,152838,0,152838
万葉線,22535,30917,53452,30,124636,70,178088,0,178088
関西電力,0,0,0,0,1165492,100,1165492,0,1165492
立山黒部貫光,0,0,0,0,1882814,100,1882814,0,1882814
富山ライトレール,45018,17775,62793,26,174581,74,237374,0,237374
中小計,1738246,1686507,3424751,21,12794695,79,16219447,23493,16242940
富山市,0,0,0,0,0,0,0,0,0
公営計,0,0,0,0,0,0,0,0,0
北陸信越運輸局計,1738246,1686507,3424751,21,12794695,79,16219447,23493,16242940
東武鉄道,57466801,8167216,65634017,46,77878857,54,143512874,0,143512874
西武鉄道,39059136,3855440,42914576,45,52649144,55,95563720,0,95563720
京成電鉄,17656103,2060673,19716776,35,36694288,65,56411064,0,56411064
京王電鉄,29833689,3759865,33593554,43,44707790,57,78301344,0,78301344
小田急電鉄,38712943,7023216,45736159,40,68575676,60,114311835,0,114311835
東京急行電鉄,54019487,6126607,60146094,45,73466074,55,133612168,0,133612168
京浜急行電鉄,27944006,2137165,30081171,40,45999751,60,76080922,0,76080922
相模鉄道,13912229,1457284,15369513,50,15526041,50,30895554,0,30895554
東京地下鉄,126206622,9955119,136161741,44,176118332,56,312280074,0,312280074
大手計,404811016,44542585,449353601,43,591615953,57,1040969555,0,1040969555
埼玉新都市交通,1140634,362082,1502716,49,1595083,51,3097799,0,3097799
埼玉高速鉄道,3838181,338721,4176902,60,2792684,40,6969586,0,6969586
新京成電鉄,4552683,695411,5248094,48,5720485,52,10968579,0,10968579
北総鉄道,6169532,717915,6887447,58,5031759,42,11919206,0,11919206
成田空港高速鉄道,0,0,0,0,0,0,0,0,0
千葉都市モノレール,1016379,169909,1186289,38,1922112,62,3108400,0,3108400
東京モノレール,2479036,7573,2486609,19,10604091,81,13090700,0,13090700
横浜シーサイドライン,1452929,51728,1504657,41,2126797,59,3631454,0,3631454
ゆりかもめ,1762245,51374,1813618,20,7458838,80,9272456,0,9272456
東京臨海高速鉄道,6415775,229804,6645579,38,10689118,62,17334697,0,17334697
東葉高速鉄道,7639899,1109211,8749110,59,6057989,41,14807099,0,14807099
多摩都市モノレール,2092194,1230248,3322442,43,4406558,57,7729000,0,7729000
横浜高速鉄道,2847462,105534,2952996,30,6874573,70,9827569,0,9827569
ひたちなか海浜鉄道,28457,46008,74465,42,103706,58,178171,0,178171
鹿島臨海鉄道,75185,212146,287331,45,348999,55,636330,0,636330
関東鉄道,703432,343747,1047179,47,1163349,53,2210528,0,2210528
野岩鉄道,3123,2464,5587,2,225237,98,230824,0,230824
上信電鉄,117327,215109,332436,53,295070,47,627506,0,627506
上毛電気鉄道,60845,110331,171176,54,147734,46,318910,0,318910
秩父鉄道,468541,304371,772912,40,1146560,60,1919472,0,1919472
流鉄,99808,20656,120464,37,208578,63,329042,0,329042
銚子電気鉄道,6845,5105,11950,15,67626,85,79576,0,79576
小湊鉄道,96699,77544,174243,41,250794,59,425037,0,425037
山万,40730,5603,46333,38,76132,62,122465,0,122465
いすみ鉄道,3709,29964,33673,37,58023,63,91696,0,91696
江ノ島電鉄,417505,202150,619655,21,2345358,79,2965013,0,2965013
真岡鐵道,11547,124772,136319,49,142913,51,279232,0,279232
わたらせ渓谷鐵道,6433,16033,22466,15,123309,85,145775,0,145775
湘南モノレール,450453,112540,562993,34,1084325,66,1647318,0,1647318
#伊豆箱根鉄道,332661,78556,411217,41,582273,59,993490,0,993490
箱根登山鉄道,150263,55473,205736,6,3150879,94,3356615,0,3356615
富士急行,116057,156593,272650,20,1107006,80,1379656,0,1379656
芝山鉄道,35001,2015,37016,53,32333,47,69349,0,69349
筑波観光鉄道,1699,0,1699,1,180884,99,182583,0,182583
高尾登山電鉄,1577,0,1577,0,496215,100,497792,2,497794
御岳登山鉄道,160,0,160,0,248887,100,249047,1660,250707
大山観光電鉄,0,0,0,0,187588,100,187588,0,187588
京葉臨海鉄道,0,0,0,0,0,0,0,0,0
神奈川臨海鉄道,0,0,0,0,0,0,0,0,0
舞浜リゾートライン,7551,0,7551,0,4642404,100,4649955,0,4649955
千葉ニュータウン鉄道,0,0,0,0,0,0,0,0,0
首都圏新都市鉄道,17653242,1976162,19629404,51,18829805,49,38459209,0,38459209
成田高速鉄道アクセス,0,0,0,0,0,0,0,0,0
中小計,62295799,9166852,71462651,41,102526074,59,173988724,1662,173990386
東京都,58952361,4539316,63491677,47,70840564,53,134332241,0,134332241
横浜市,16916544,2486263,19402807,48,20629925,52,40032732,0,40032732
公営計,75868905,7025579,82894484,48,91470489,52,174364973,0,174364973
関東運輸局計,542975720,60735016,603710736,43,785612517,57,1389323252,1662,1389324914
名古屋鉄道,29118020,7134203,36252223,44,46038310,56,82290533,58784,82349317
大手計,29118020,7134203,36252223,44,46038310,56,82290533,58784,82349317
#伊豆箱根鉄道,404269,236920,641189,38,1038965,62,1680154,0,1680154
伊豆急行,170963,81702,252665,8,3109455,92,3362120,1481,3363601
岳南電車,34485,7279,41764,33,86617,67,128381,0,128381
静岡鉄道,327512,89919,417431,30,959211,70,1376642,0,1376642
大井川鐵道,13747,30430,44177,7,593350,93,637527,1316,638843
遠州鉄道,288238,180357,468595,30,1080479,70,1549074,100,1549174
天竜浜名湖鉄道,55423,78985,134408,36,234115,64,368524,0,368524
豊橋鉄道,276515,305211,581726,37,986076,63,1567802,51,1567853
明知鉄道,3361,45068,48429,48,52241,52,100670,0,100670
長良川鉄道,17981,64500,82481,34,158539,66,241020,0,241020
三岐鉄道,190954,299054,490008,56,386008,44,876016,0,876016
伊勢鉄道,31724,23604,55328,9,586577,91,641905,0,641905
福井鉄道,47343,85368,132711,38,219218,62,351929,0,351929
愛知環状鉄道,798296,592216,1390512,39,2180104,61,3570616,0,3570616
樽見鉄道,16041,43528,59569,40,87979,60,147548,0,147548
東海交通事業,31792,2822,34614,43,46248,57,80862,0,80862
名古屋ガイドウェイバス,126295,24016,150311,27,412340,73,562651,0,562651
上飯田連絡線,0,0,0,0,0,0,0,0,0
西濃鉄道,0,0,0,0,0,0,0,0,0
名古屋臨海鉄道,0,0,0,0,0,0,0,0,0
衣浦臨海鉄道,0,0,0,0,0,0,0,0,0
えちぜん鉄道,127101,205150,332251,44,423494,56,755745,518,756263
中部国際空港連絡鉄道,0,0,0,0,0,0,0,0,0
愛知高速交通,139359,381465,520825,43,692442,57,1213267,0,1213267
名古屋臨海高速鉄道,488131,83131,571262,26,1591227,74,2162488,0,2162488
伊賀鉄道,47969,83427,131396,56,101956,44,233352,0,233352
養老鉄道,302953,264802,567755,58,403908,42,971663,2522,974185
中小計,3940452,3208954,7149407,32,15430549,68,22579956,5988,22585944
名古屋市,20176935,6911425,27088360,38,44848623,62,71936983,0,71936983
公営計,20176935,6911425,27088360,38,44848623,62,71936983,0,71936983
中部運輸局計,53235407,17254582,70489990,40,106317482,60,176807472,64772,176872244
近畿日本鉄道,39627982,8404486,48032468,32,101843726,68,149876194,44416,149920610
南海電気鉄道,20031031,2568115,22599146,42,30933291,58,53532437,457,53532894
京阪電気鉄道,13784220,2074827,15859047,32,33565046,68,49424093,923,49425016
阪急電鉄,26843717,4455711,31299428,34,61629708,66,92929136,475,92929611
阪神電気鉄道,9850049,1158834,11008883,35,20260262,65,31269145,0,31269145
大手計,110136999,18661973,128798972,34,248232033,66,377031005,46271,377077276
北大阪急行電鉄,1578433,159403,1737836,39,2743066,61,4480902,0,4480902
大阪府都市開発,3148431,876836,4025267,51,3791979,49,7817246,0,7817246
神戸電鉄,3685342,1074806,4760147,50,4809950,50,9570097,0,9570097
#神戸高速鉄道,0,0,0,0,0,0,0,0,0
山陽電気鉄道,4827852,758684,5586536,47,6329777,53,11916313,0,11916313
神戸新交通,1584388,468756,2053144,35,3885570,65,5938714,0,5938714
大阪高速鉄道,1976217,271112,2247329,25,6618106,75,8865435,0,8865435
北神急行電鉄,891073,139232,1030305,49,1069091,51,2099396,0,2099396
関西高速鉄道,0,0,0,0,0,0,0,0,0
大阪港トランスポートシステム,0,0,0,0,0,0,0,0,0
能勢電鉄,1272215,278327,1550542,45,1913188,55,3463730,0,3463730
阪堺電気軌道,214506,64558,279064,23,943784,77,1222848,0,1222848
京福電気鉄道,145364,28761,174125,15,1015266,85,1189391,0,1189391
近江鉄道,214884,231229,446113,49,461650,51,907763,0,907763
叡山電鉄,194542,121709,316251,27,847552,73,1163803,0,1163803
水間鉄道,101161,25888,127049,45,153929,55,280978,0,280978
北条鉄道,7037,24482,31519,44,39578,56,71097,0,71097
紀州鉄道,2992,1320,4312,40,6582,60,10894,0,10894
北近畿タンゴ鉄道,39836,95611,135447,15,755159,85,890607,0,890607
信楽高原鐵道,11562,46802,58364,61,37797,39,96161,0,96161
嵯峨野観光鉄道,0,0,0,0,562700,100,562700,68,562768
新関西国際空港,0,0,0,0,0,0,0,0,0
比叡山鉄道,4362,0,4362,3,124098,97,128460,302,128762
鞍馬寺,0,0,0,0,0,0,0,0,0
丹後海陸交通,70,0,70,0,169291,100,169361,0,169361
六甲山観光,2678,605,3283,2,135017,98,138300,0,138300
神戸すまいまちづくり公社,0,0,0,0,38138,100,38138,0,38138
西大阪高速鉄道,0,0,0,0,0,0,0,0,0
中之島高速鉄道,0,0,0,0,0,0,0,0,0
大阪外環状鉄道,0,0,0,0,0,0,0,0,0
和歌山電鐵,87047,68304,155351,46,184045,54,339396,0,339396
奈良生駒高速鉄道,0,0,0,0,0,0,0,0,0
中小計,19989992,4736425,24726416,40,36635313,60,61361730,370,61362100
京都市,5890462,2120613,8011075,35,15032651,65,23043726,0,23043726
大阪市,33120944,2512464,35633408,24,111488797,76,147122205,0,147122205
神戸市,6171732,1450560,7622292,44,9591737,56,17214029,0,17214029
和歌山県,0,0,0,0,0,0,0,0,0
公営計,45183138,6083637,51266775,27,136113185,73,187379960,0,187379960
近畿運輸局計,175310129,29482035,204792163,33,420980531,67,625772695,46641,625819336
岡山電気軌道,29250,31721,60971,19,267730,81,328701,0,328701
一畑電車,69312,83502,152814,31,338937,69,491751,791,492542
