company_name,transport_passengers_teiki_tsukin,transport_passengers_teiki_tsugaku,transport_passengers_teiki_total,transport_passengers_teiki_percent,transport_passengers_teikigai,transport_passengers_teikigai_percent,transport_passengers_sum
太平洋石炭販売輸送,0,0,0,-,0,-,0
中小計,0,0,0,0,0,0,0
札幌市,47696,37305,85001,32,182991,68,267992
函館市,299,104,403,8,4806,92,5209
公営計,47995,37409,85404,31,187797,69,273201
北海道運輸局計,47995,37409,85404,31,187797,69,273201
弘南鉄道,168,1090,1258,66,652,34,1910
津軽鉄道,6,144,150,48,160,52,310
三陸鉄道,8,217,225,45,273,55,498
福島交通,1073,501,1574,55,1310,45,2884
阿武隈急行,606,883,1489,58,1096,42,2585
会津鉄道,34,207,241,44,305,56,546
秋田内陸縦貫鉄道,16,147,163,48,174,52,337
由利高原鉄道,19,166,185,70,78,30,263
山形鉄道,26,449,475,74,166,26,641
ＩＧＲいわて銀河鉄道,1413,2286,3699,71,1537,29,5236
青い森鉄道,680,1844,2524,60,1664,40,4188
八戸臨海鉄道,0,0,0,-,0,0,0
岩手開発鉄道,0,0,0,-,0,0,0
仙台臨海鉄道,0,0,0,-,0,0,0
福島臨海鉄道,0,0,0,-,0,0,0
秋田臨海鉄道,0,0,0,-,0,0,0
青函トンネル記念館,0,0,0,0,69,100,69
仙台空港鉄道,1139,95,1234,35,2264,65,3498
中小計,5188,8029,13217,58,9748,42,22965
仙台市,20757,5839,26596,47,29774,53,56370
公営計,20757,5839,26596,47,29774,53,56370
東北運輸局計,25945,13868,39813,50,39522,50,79335
長野電鉄,2104,2331,4434,60,2907,40,7341
しなの鉄道,3000,4383,7383,71,2991,29,10374
上田電鉄,211,381,592,49,626,51,1218
アルピコ交通,217,868,1085,66,555,34,1640
北越急行,134,563,697,17,3318,83,4015
富山地方鉄道,2718,3058,5775,61,3721,39,9497
黒部峡谷鉄道,13,0,13,1,1015,99,1028
北陸鉄道,506,1014,1521,56,1219,45,2739
のと鉄道,58,394,452,69,205,31,657
万葉線,158,364,522,42,726,58,1248
関西電力,0,0,0,0,992,100,992
立山黒部貫光,0,0,0,0,2105,100,2105
富山ライトレール,495,402,897,47,1014,53,1911
中小計,9614,13758,23371,52,21394,48,44765
北陸信越運輸局計,9614,13758,23371,52,21394,48,44765
東武鉄道,424244,158065,582309,65,311925,35,894234
西武鉄道,298050,93255,391305,62,241100,38,632405
京成電鉄,119151,36972,156123,58,110830,42,266953
京王電鉄,273274,95308,368582,58,263305,42,631887
小田急電鉄,320203,133551,453754,62,282243,38,735997
東京急行電鉄,524195,141980,666175,60,450458,40,1116633
京浜急行電鉄,203133,46415,249548,56,197629,44,447177
相模鉄道,116826,31487,148313,65,79878,35,228191
東京地下鉄,1220104,180253,1400357,57,1054438,43,2454795
大手計,3499180,917286,4416466,60,2991806,40,7408272
埼玉新都市交通,7429,2752,10181,59,7000,41,17181
埼玉高速鉄道,21505,2481,23986,71,9769,29,33755
新京成電鉄,51711,13746,65457,63,37633,37,103090
北総鉄道,19726,5039,24765,68,11649,32,36414
千葉都市モノレール,7104,1378,8481,50,8589,50,17070
東京モノレール,18125,119,18244,40,27272,60,45516
横浜シーサイドライン,9155,454,9609,53,8651,47,18260
ゆりかもめ,13557,604,14160,35,26748,65,40908
東京臨海高速鉄道,41433,3005,44438,52,40242,48,84680
東葉高速鉄道,27874,6636,34510,68,15907,32,50417
多摩都市モノレール,13352,14194,27546,58,19712,42,47258
横浜高速鉄道,29264,1808,31071,44,38976,56,70047
ひたちなか海浜鉄道,141,334,475,57,365,43,840
鹿島臨海鉄道,284,1080,1364,63,816,37,2180
関東鉄道,4309,2053,6362,61,4125,39,10487
野岩鉄道,9,15,24,6,363,94,387
上信電鉄,401,1232,1633,73,590,27,2224
上毛電気鉄道,295,871,1166,71,468,29,1634
秩父鉄道,2374,3060,5434,66,2756,34,8190
流鉄,1040,297,1337,47,1515,53,2852
銚子電気鉄道,40,102,142,30,326,70,468
