company_name,transport_revenue_passenger_teiki_tsukin,transport_revenue_passenger_teiki_tsugaku,transport_revenue_passenger_teiki_total,transport_revenue_passenger_teiki_percent,transport_revenue_passenger_teikigai,transport_revenue_passenger_teikigai_percent,transport_revenue_passenger_total,transport_revenue_passenger_baggage,transport_revenue_passenger_total2
太平洋石炭販売輸送,0,0,0,-,0,-,0,0,0
中小計,0,0,0,0,0,0,0,0,0
札幌市,6333763,2243904,8577667,24,26985569,76,35563236,0,35563236
函館市,44588,14259,58847,7,812895,93,871742,0,871742
公営計,6378351,2258163,8636514,24,27798464,76,36434978,0,36434978
北海道運輸局計,6378351,2258163,8636514,24,27798464,76,36434978,0,36434978
弘南鉄道,33001,135447,168448,47,189183,53,357631,18,357649
津軽鉄道,1551,25065,26616,27,70493,73,97109,7,97116
三陸鉄道,5190,48378,53568,13,367084,87,420652,0,420652
福島交通,149849,47645,197494,42,276337,58,473831,0,473831
阿武隈急行,146277,172947,319224,46,372387,54,691611,0,691611
会津鉄道,15147,50517,65664,22,238741,78,304405,0,304405
秋田内陸縦貫鉄道,4810,32382,37192,27,102261,73,139453,0,139453
由利高原鉄道,2061,22593,24654,46,28386,54,53040,0,53040
山形鉄道,5374,77967,83341,57,62628,43,145969,0,145969
ＩＧＲいわて銀河鉄道,305087,283579,588666,37,998906,63,1587572,0,1587572
青い森鉄道,212781,187125,399906,20,1577831,80,1977737,0,1977737
八戸臨海鉄道,0,0,0,-,0,-,0,0,0
岩手開発鉄道,0,0,0,-,0,-,0,0,0
仙台臨海鉄道,0,0,0,-,0,-,0,0,0
福島臨海鉄道,0,0,0,-,0,-,0,0,0
秋田臨海鉄道,0,0,0,-,0,-,0,0,0
青函トンネル記念館,0,0,0,0,19707,100,19707,0,19707
仙台空港鉄道,138140,7346,145486,16,743982,84,889468,0,889468
中小計,1019268,1090991,2110259,29,5047926,71,7158185,25,7158210
仙台市,3191700,593013,3784713,37,6485116,63,10269829,0,10269829
青森県,0,0,0,-,0,-,0,0,0
公営計,3191700,593013,3784713,37,6485116,63,10269829,0,10269829
